GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,com.miniproject.library,LibraryApplication,0,8,0,0,0,3,0,2,0,2
library,com.miniproject.library.controller,UserController,0,69,0,0,0,14,0,7,0,7
library,com.miniproject.library.controller,CategoryController,0,41,0,0,0,9,0,5,0,5
library,com.miniproject.library.controller,PenaltyController,0,60,0,2,0,13,0,6,0,5
library,com.miniproject.library.controller,LoanController,0,34,0,0,0,6,0,4,0,4
library,com.miniproject.library.controller,LibrarianController,0,37,0,0,0,9,0,5,0,5
library,com.miniproject.library.controller,AnggotaController,0,37,0,0,0,9,0,5,0,5
library,com.miniproject.library.controller,BookController,30,41,0,0,7,9,1,5,1,5
library,com.miniproject.library.service,PenaltyService,0,80,0,2,0,22,0,7,0,6
library,com.miniproject.library.service,UserService,0,108,0,6,0,22,0,9,0,6
library,com.miniproject.library.service,BookService,0,166,0,6,0,35,0,9,0,6
library,com.miniproject.library.service,CategoryService,0,83,0,2,0,22,0,7,0,6
library,com.miniproject.library.service,LibrarianService,0,101,0,2,0,27,0,7,0,6
library,com.miniproject.library.service,LoanService,30,373,7,23,4,84,8,21,1,13
library,com.miniproject.library.service,RegisterService,0,111,0,4,0,23,0,5,0,3
library,com.miniproject.library.service,LoginService,0,73,0,2,0,16,0,4,0,3
library,com.miniproject.library.service,AnggotaService,0,101,0,2,0,27,0,7,0,6
